Requisition ID,Status,Created By,Last Updated By,Created Date,Last Updated Date,Submitted On
5,ordered,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-28T10:54:12-07:00,2008-10-28T10:54:12-07:00,2008-10-28T10:54:10-07:00
7,draft,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-28T10:54:20-07:00,2008-10-28T10:54:20-07:00,2008-10-28T10:57:00-07:00
7,cart,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-28T10:54:20-07:00,2008-10-28T10:54:20-07:00,2008-10-28T10:57:00-07:00
7,pending_approval,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-28T10:57:00-07:00,2008-10-28T10:57:00-07:00,2008-10-28T10:57:00-07:00
8,draft,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-28T10:57:06-07:00,2008-10-28T10:57:06-07:00,2008-10-29T14:10:36-07:00
8,cart,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-28T10:57:06-07:00,2008-10-28T10:57:06-07:00,2008-10-29T14:10:36-07:00
7,ordered,Sally (Sales VP) Jones,Sally (Sales VP) Jones,2008-10-28T10:57:26-07:00,2008-10-28T10:57:26-07:00,2008-10-28T10:57:00-07:00
9,draft,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2008-10-28T11:01:34-07:00,2008-10-28T11:01:34-07:00,2008-10-29T14:12:45-07:00
9,cart,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2008-10-28T11:01:34-07:00,2008-10-28T11:01:34-07:00,2008-10-29T14:12:45-07:00
10,draft,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-10-28T11:09:54-07:00,2008-10-28T11:09:54-07:00,2008-10-28T11:13:41-07:00
10,cart,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-10-28T11:09:54-07:00,2008-10-28T11:09:54-07:00,2008-10-28T11:13:41-07:00
10,pending_approval,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-10-28T11:13:41-07:00,2008-10-28T11:13:41-07:00,2008-10-28T11:13:41-07:00
11,draft,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-10-28T11:13:42-07:00,2008-10-28T11:13:42-07:00,2008-10-29T14:55:07-07:00
11,cart,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-10-28T11:13:42-07:00,2008-10-28T11:13:42-07:00,2008-10-29T14:55:07-07:00
12,draft,Kenny (IT VP) Watkins,Kenny (IT VP) Watkins,2008-10-28T11:17:30-07:00,2008-10-28T11:17:30-07:00,2008-12-09T13:03:00-08:00
12,cart,Kenny (IT VP) Watkins,Kenny (IT VP) Watkins,2008-10-28T11:17:30-07:00,2008-10-28T11:17:30-07:00,2008-12-09T13:03:00-08:00
10,ordered,Kenny (IT VP) Watkins,Kenny (IT VP) Watkins,2008-10-28T11:17:38-07:00,2008-10-28T11:17:38-07:00,2008-10-28T11:13:41-07:00
13,draft,Anna (AP Director) Manning,Anna (AP Director) Manning,2008-10-28T11:19:39-07:00,2008-10-28T11:19:39-07:00,
13,cart,Anna (AP Director) Manning,Anna (AP Director) Manning,2008-10-28T11:19:39-07:00,2008-10-28T11:19:39-07:00,
14,draft,Victor (CFO) Pierre,Victor (CFO) Pierre,2008-10-28T11:23:44-07:00,2008-10-28T11:23:44-07:00,2008-11-14T10:40:19-08:00
14,cart,Victor (CFO) Pierre,Victor (CFO) Pierre,2008-10-28T11:23:44-07:00,2008-10-28T11:23:44-07:00,2008-11-14T10:40:19-08:00
10,received,Carl (Central Receiving) Johnson,Carl (Central Receiving) Johnson,2008-10-28T11:24:57-07:00,2008-10-28T11:24:57-07:00,2008-10-28T11:13:41-07:00
8,pending_approval,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-29T14:10:36-07:00,2008-10-29T14:10:36-07:00,2008-10-29T14:10:36-07:00
16,draft,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-29T14:10:39-07:00,2008-10-29T14:10:39-07:00,2009-02-24T23:04:03-08:00
16,cart,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-29T14:10:39-07:00,2008-10-29T14:10:39-07:00,2009-02-24T23:04:03-08:00
9,pending_approval,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2008-10-29T14:12:45-07:00,2008-10-29T14:12:45-07:00,2008-10-29T14:12:45-07:00
17,draft,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2008-10-29T14:12:48-07:00,2008-10-29T14:12:48-07:00,2009-05-04T18:33:09-07:00
17,cart,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2008-10-29T14:12:48-07:00,2008-10-29T14:12:48-07:00,2009-05-04T18:33:09-07:00
18,draft,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:15:05-07:00,2008-10-29T14:15:05-07:00,2008-10-29T14:16:09-07:00
18,cart,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:15:06-07:00,2008-10-29T14:15:06-07:00,2008-10-29T14:16:09-07:00
18,pending_buyer_action,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:16:09-07:00,2008-10-29T14:16:09-07:00,2008-10-29T14:16:09-07:00
19,draft,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:16:11-07:00,2008-10-29T14:16:11-07:00,2008-10-29T14:19:24-07:00
19,cart,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:16:11-07:00,2008-10-29T14:16:11-07:00,2008-10-29T14:19:24-07:00
19,pending_approval,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:19:24-07:00,2008-10-29T14:19:24-07:00,2008-10-29T14:19:24-07:00
19,ordered,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:19:31-07:00,2008-10-29T14:19:31-07:00,2008-10-29T14:19:24-07:00
20,draft,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:19:32-07:00,2008-10-29T14:19:32-07:00,2008-10-29T14:21:18-07:00
20,cart,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:19:32-07:00,2008-10-29T14:19:32-07:00,2008-10-29T14:21:18-07:00
20,pending_approval,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:21:18-07:00,2008-10-29T14:21:18-07:00,2008-10-29T14:21:18-07:00
21,draft,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:21:23-07:00,2008-10-29T14:21:23-07:00,2008-10-29T14:22:13-07:00
21,cart,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:21:23-07:00,2008-10-29T14:21:23-07:00,2008-10-29T14:22:13-07:00
21,pending_approval,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:22:13-07:00,2008-10-29T14:22:13-07:00,2008-10-29T14:22:13-07:00
22,draft,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:22:16-07:00,2008-10-29T14:22:16-07:00,2008-10-29T14:28:00-07:00
22,cart,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:22:16-07:00,2008-10-29T14:22:16-07:00,2008-10-29T14:28:00-07:00
22,pending_approval,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:28:00-07:00,2008-10-29T14:28:00-07:00,2008-10-29T14:28:00-07:00
23,draft,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:28:03-07:00,2008-10-29T14:28:03-07:00,2009-01-19T14:08:51-08:00
23,cart,April (Marketing Admin) Dourtry,April (Marketing Admin) Dourtry,2008-10-29T14:28:04-07:00,2008-10-29T14:28:04-07:00,2009-01-19T14:08:51-08:00
24,draft,Blair (Marketing VP) Hostler,Blair (Marketing VP) Hostler,2008-10-29T14:28:11-07:00,2008-10-29T14:28:11-07:00,2008-10-29T14:29:59-07:00
24,cart,Blair (Marketing VP) Hostler,Blair (Marketing VP) Hostler,2008-10-29T14:28:13-07:00,2008-10-29T14:28:13-07:00,2008-10-29T14:29:59-07:00
22,ordered,Blair (Marketing VP) Hostler,Blair (Marketing VP) Hostler,2008-10-29T14:28:19-07:00,2008-10-29T14:28:19-07:00,2008-10-29T14:28:00-07:00
20,draft,Blair (Marketing VP) Hostler,Blair (Marketing VP) Hostler,2008-10-29T14:28:46-07:00,2008-10-29T14:28:46-07:00,2008-10-29T14:21:18-07:00
24,pending_approval,Blair (Marketing VP) Hostler,Blair (Marketing VP) Hostler,2008-10-29T14:29:59-07:00,2008-10-29T14:29:59-07:00,2008-10-29T14:29:59-07:00
24,ordered,Blair (Marketing VP) Hostler,Blair (Marketing VP) Hostler,2008-10-29T14:30:01-07:00,2008-10-29T14:30:01-07:00,2008-10-29T14:29:59-07:00
25,draft,Blair (Marketing VP) Hostler,Blair (Marketing VP) Hostler,2008-10-29T14:30:07-07:00,2008-10-29T14:30:07-07:00,2009-05-11T15:39:49-07:00
25,cart,Blair (Marketing VP) Hostler,Blair (Marketing VP) Hostler,2008-10-29T14:30:07-07:00,2008-10-29T14:30:07-07:00,2009-05-11T15:39:49-07:00
24,received,Blair (Marketing VP) Hostler,Blair (Marketing VP) Hostler,2008-10-29T14:49:36-07:00,2008-10-29T14:49:36-07:00,2008-10-29T14:29:59-07:00
11,pending_approval,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-10-29T14:55:07-07:00,2008-10-29T14:55:07-07:00,2008-10-29T14:55:07-07:00
26,draft,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-10-29T14:55:09-07:00,2008-10-29T14:55:09-07:00,2008-10-29T14:56:54-07:00
26,cart,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-10-29T14:55:09-07:00,2008-10-29T14:55:09-07:00,2008-10-29T14:56:54-07:00
26,pending_approval,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-10-29T14:56:54-07:00,2008-10-29T14:56:54-07:00,2008-10-29T14:56:54-07:00
27,draft,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-10-29T14:56:58-07:00,2008-10-29T14:56:58-07:00,2008-10-29T14:57:31-07:00
27,cart,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-10-29T14:56:58-07:00,2008-10-29T14:56:58-07:00,2008-10-29T14:57:31-07:00
11,draft,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-10-29T14:57:05-07:00,2008-10-29T14:57:05-07:00,2008-10-29T14:55:07-07:00
27,pending_approval,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-10-29T14:57:31-07:00,2008-10-29T14:57:31-07:00,2008-10-29T14:57:31-07:00
28,draft,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-10-29T14:57:34-07:00,2008-10-29T14:57:34-07:00,2008-11-20T15:55:07-08:00
28,cart,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-10-29T14:57:34-07:00,2008-10-29T14:57:34-07:00,2008-11-20T15:55:07-08:00
27,ordered,Kenny (IT VP) Watkins,Kenny (IT VP) Watkins,2008-10-29T14:57:50-07:00,2008-10-29T14:57:50-07:00,2008-10-29T14:57:31-07:00
29,draft,Diane (Inventory Manager) Wilson,Diane (Inventory Manager) Wilson,2008-10-30T17:17:21-07:00,2008-10-30T17:17:21-07:00,2009-02-13T12:48:43-08:00
29,cart,Diane (Inventory Manager) Wilson,Diane (Inventory Manager) Wilson,2008-10-30T17:17:21-07:00,2008-10-30T17:17:21-07:00,2009-02-13T12:48:43-08:00
10,received,,,2008-11-05T15:56:12-08:00,2008-11-05T15:56:12-08:00,2008-10-28T11:13:41-07:00
24,received,,,2008-11-05T15:56:13-08:00,2008-11-05T15:56:13-08:00,2008-10-29T14:29:59-07:00
10,received,,,2008-11-14T13:28:53-08:00,2008-11-14T13:28:53-08:00,2008-10-28T11:13:41-07:00
28,pending_approval,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-11-20T15:55:07-08:00,2008-11-20T15:55:07-08:00,2008-11-20T15:55:07-08:00
30,draft,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-11-20T15:55:08-08:00,2008-11-20T15:55:08-08:00,2009-05-04T18:25:16-07:00
30,cart,Jim (IT Director) Tran,Jim (IT Director) Tran,2008-11-20T15:55:08-08:00,2008-11-20T15:55:08-08:00,2009-05-04T18:25:16-07:00
31,draft,Kevin Rhine,Kevin Rhine,2009-02-23T17:28:41-08:00,2009-02-23T17:28:41-08:00,2009-02-23T17:29:37-08:00
31,cart,Kevin Rhine,Kevin Rhine,2009-02-23T17:28:41-08:00,2009-02-23T17:28:41-08:00,2009-02-23T17:29:37-08:00
31,pending_approval,Kevin Rhine,Kevin Rhine,2009-02-23T17:29:37-08:00,2009-02-23T17:29:37-08:00,2009-02-23T17:29:37-08:00
31,ordered,Kevin Rhine,Kevin Rhine,2009-02-23T17:29:38-08:00,2009-02-23T17:29:38-08:00,2009-02-23T17:29:37-08:00
32,draft,Kevin Rhine,Kevin Rhine,2009-02-23T17:29:39-08:00,2009-02-23T17:29:39-08:00,2009-05-04T17:59:12-07:00
32,cart,Kevin Rhine,Kevin Rhine,2009-02-23T17:29:39-08:00,2009-02-23T17:29:39-08:00,2009-05-04T17:59:12-07:00
31,received,Kevin Rhine,Kevin Rhine,2009-02-23T17:29:49-08:00,2009-02-23T17:29:49-08:00,2009-02-23T17:29:37-08:00
16,pending_approval,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2009-02-24T23:04:03-08:00,2009-02-24T23:04:03-08:00,2009-02-24T23:04:03-08:00
33,draft,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2009-02-24T23:04:04-08:00,2009-02-24T23:04:04-08:00,2009-05-04T18:03:35-07:00
33,cart,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2009-02-24T23:04:04-08:00,2009-02-24T23:04:04-08:00,2009-05-04T18:03:35-07:00
16,ordered,Sally (Sales VP) Jones,Sally (Sales VP) Jones,2009-02-24T23:04:58-08:00,2009-02-24T23:04:58-08:00,2009-02-24T23:04:03-08:00
8,rejected,Sally (Sales VP) Jones,Sally (Sales VP) Jones,2009-02-24T23:05:13-08:00,2009-02-24T23:05:13-08:00,2008-10-29T14:10:36-07:00
8,draft,Sally (Sales VP) Jones,Sally (Sales VP) Jones,2009-02-24T23:05:13-08:00,2009-02-24T23:05:13-08:00,2008-10-29T14:10:36-07:00
32,pending_approval,Kevin Rhine,Kevin Rhine,2009-05-04T17:59:12-07:00,2009-05-04T17:59:12-07:00,2009-05-04T17:59:12-07:00
34,draft,Kevin Rhine,Kevin Rhine,2009-05-04T17:59:35-07:00,2009-05-04T17:59:35-07:00,2008-10-06T05:50:39-07:00
34,cart,Kevin Rhine,Kevin Rhine,2009-05-04T17:59:35-07:00,2009-05-04T17:59:35-07:00,2008-10-06T05:50:39-07:00
33,pending_approval,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2009-05-04T18:03:35-07:00,2009-05-04T18:03:35-07:00,2009-05-04T18:03:35-07:00
35,draft,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2009-05-04T18:03:38-07:00,2009-05-04T18:03:38-07:00,2009-05-04T18:23:00-07:00
35,cart,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2009-05-04T18:03:38-07:00,2009-05-04T18:03:38-07:00,2009-05-04T18:23:00-07:00
35,pending_approval,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2009-05-04T18:23:00-07:00,2009-05-04T18:23:00-07:00,2009-05-04T18:23:00-07:00
36,draft,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2009-05-04T18:23:02-07:00,2009-05-04T18:23:02-07:00,2009-05-04T18:24:07-07:00
36,cart,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2009-05-04T18:23:02-07:00,2009-05-04T18:23:02-07:00,2009-05-04T18:24:07-07:00
36,pending_approval,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2009-05-04T18:24:07-07:00,2009-05-04T18:24:07-07:00,2009-05-04T18:24:07-07:00
37,draft,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2009-05-04T18:24:08-07:00,2009-05-04T18:24:08-07:00,2008-10-06T05:30:47-07:00
37,cart,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2009-05-04T18:24:08-07:00,2009-05-04T18:24:08-07:00,2008-10-06T05:30:47-07:00
30,pending_approval,Jim (IT Director) Tran,Jim (IT Director) Tran,2009-05-04T18:25:16-07:00,2009-05-04T18:25:16-07:00,2009-05-04T18:25:16-07:00
38,draft,Jim (IT Director) Tran,Jim (IT Director) Tran,2009-05-04T18:25:17-07:00,2009-05-04T18:25:17-07:00,2009-05-04T18:26:11-07:00
38,cart,Jim (IT Director) Tran,Jim (IT Director) Tran,2009-05-04T18:25:17-07:00,2009-05-04T18:25:17-07:00,2009-05-04T18:26:11-07:00
38,pending_approval,Jim (IT Director) Tran,Jim (IT Director) Tran,2009-05-04T18:26:11-07:00,2009-05-04T18:26:11-07:00,2009-05-04T18:26:11-07:00
39,draft,Jim (IT Director) Tran,Jim (IT Director) Tran,2009-05-04T18:26:14-07:00,2009-05-04T18:26:14-07:00,2009-05-04T18:27:37-07:00
39,cart,Jim (IT Director) Tran,Jim (IT Director) Tran,2009-05-04T18:26:14-07:00,2009-05-04T18:26:14-07:00,2009-05-04T18:27:37-07:00
39,pending_approval,Jim (IT Director) Tran,Jim (IT Director) Tran,2009-05-04T18:27:37-07:00,2009-05-04T18:27:37-07:00,2009-05-04T18:27:37-07:00
40,draft,Jim (IT Director) Tran,Jim (IT Director) Tran,2009-05-04T18:27:39-07:00,2009-05-04T18:27:39-07:00,2009-05-05T11:38:44-07:00
40,cart,Jim (IT Director) Tran,Jim (IT Director) Tran,2009-05-04T18:27:39-07:00,2009-05-04T18:27:39-07:00,2009-05-05T11:38:44-07:00
17,pending_approval,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T18:33:09-07:00,2009-05-04T18:33:09-07:00,2009-05-04T18:33:09-07:00
41,draft,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T18:33:16-07:00,2009-05-04T18:33:16-07:00,2009-05-04T22:22:08-07:00
41,cart,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T18:33:16-07:00,2009-05-04T18:33:16-07:00,2009-05-04T22:22:08-07:00
39,ordered,,,2009-05-04T21:17:04-07:00,2009-05-04T21:17:04-07:00,2009-05-04T18:27:37-07:00
28,ordered,Kenny (IT VP) Watkins,Kenny (IT VP) Watkins,2009-05-04T21:44:43-07:00,2009-05-04T21:44:43-07:00,2008-11-20T15:55:07-08:00
42,draft,Meg (CEO) Jordan,Meg (CEO) Jordan,2009-05-04T21:45:29-07:00,2009-05-04T21:45:29-07:00,2008-10-06T05:27:00-07:00
42,cart,Meg (CEO) Jordan,Meg (CEO) Jordan,2009-05-04T21:45:29-07:00,2009-05-04T21:45:29-07:00,2008-10-06T05:27:00-07:00
32,ordered,Meg (CEO) Jordan,Meg (CEO) Jordan,2009-05-04T21:45:37-07:00,2009-05-04T21:45:37-07:00,2009-05-04T17:59:12-07:00
38,ordered,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T21:59:17-07:00,2009-05-04T21:59:17-07:00,2009-05-04T18:26:11-07:00
36,ordered,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T21:59:33-07:00,2009-05-04T21:59:33-07:00,2009-05-04T18:24:07-07:00
35,ordered,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T21:59:52-07:00,2009-05-04T21:59:52-07:00,2009-05-04T18:23:00-07:00
33,ordered,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T22:00:04-07:00,2009-05-04T22:00:04-07:00,2009-05-04T18:03:35-07:00
30,ordered,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T22:00:16-07:00,2009-05-04T22:00:16-07:00,2009-05-04T18:25:16-07:00
26,ordered,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T22:00:28-07:00,2009-05-04T22:00:28-07:00,2008-10-29T14:56:54-07:00
21,ordered,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T22:00:41-07:00,2009-05-04T22:00:41-07:00,2008-10-29T14:22:13-07:00
17,ordered,Kevin Rhine,Kevin Rhine,2009-05-04T22:02:09-07:00,2009-05-04T22:02:09-07:00,2009-05-04T18:33:09-07:00
9,ordered,Kevin Rhine,Kevin Rhine,2009-05-04T22:02:19-07:00,2009-05-04T22:02:19-07:00,2008-10-29T14:12:45-07:00
41,pending_approval,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T22:22:08-07:00,2009-05-04T22:22:08-07:00,2009-05-04T22:22:08-07:00
43,draft,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T22:22:10-07:00,2009-05-04T22:22:10-07:00,2009-05-04T22:32:00-07:00
43,cart,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T22:22:10-07:00,2009-05-04T22:22:10-07:00,2009-05-04T22:32:00-07:00
41,ordered,Kevin Rhine,Kevin Rhine,2009-05-04T22:22:50-07:00,2009-05-04T22:22:50-07:00,2009-05-04T22:22:08-07:00
44,draft,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T22:23:52-07:00,2009-05-04T22:23:52-07:00,2009-05-04T22:25:31-07:00
44,pending_approval,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T22:25:31-07:00,2009-05-04T22:25:31-07:00,2009-05-04T22:25:31-07:00
44,ordered,Blair (Marketing VP) Hostler,Blair (Marketing VP) Hostler,2009-05-04T22:27:08-07:00,2009-05-04T22:27:08-07:00,2009-05-04T22:25:31-07:00
43,pending_approval,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T22:32:00-07:00,2009-05-04T22:32:00-07:00,2009-05-04T22:32:00-07:00
45,draft,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T22:32:03-07:00,2009-05-04T22:32:03-07:00,2008-10-06T05:37:58-07:00
45,cart,Ellis (Marketing Lead) Johnson,Ellis (Marketing Lead) Johnson,2009-05-04T22:32:03-07:00,2009-05-04T22:32:03-07:00,2008-10-06T05:37:58-07:00
43,ordered,Meg (CEO) Jordan,Meg (CEO) Jordan,2009-05-04T22:33:04-07:00,2009-05-04T22:33:04-07:00,2009-05-04T22:32:00-07:00
40,pending_approval,Jim (IT Director) Tran,Jim (IT Director) Tran,2009-05-05T11:38:44-07:00,2009-05-05T11:38:44-07:00,2009-05-05T11:38:44-07:00
46,draft,Jim (IT Director) Tran,Jim (IT Director) Tran,2009-05-05T11:39:16-07:00,2009-05-05T11:39:16-07:00,2008-12-09T12:56:36-08:00
46,cart,Jim (IT Director) Tran,Jim (IT Director) Tran,2009-05-05T11:39:16-07:00,2009-05-05T11:39:16-07:00,2008-12-09T12:56:36-08:00
40,ordered,Meg (CEO) Jordan,Meg (CEO) Jordan,2009-05-05T11:41:07-07:00,2009-05-05T11:41:07-07:00,2009-05-05T11:38:44-07:00
42,pending_approval,Meg (CEO) Jordan,Meg (CEO) Jordan,2008-10-06T05:27:00-07:00,2008-10-06T05:27:00-07:00,2008-10-06T05:27:00-07:00
47,draft,Meg (CEO) Jordan,Meg (CEO) Jordan,2008-10-06T05:27:02-07:00,2008-10-06T05:27:02-07:00,2008-11-14T10:51:24-08:00
47,cart,Meg (CEO) Jordan,Meg (CEO) Jordan,2008-10-06T05:27:02-07:00,2008-10-06T05:27:02-07:00,2008-11-14T10:51:24-08:00
42,ordered,Victor (CFO) Pierre,Victor (CFO) Pierre,2008-10-06T05:27:40-07:00,2008-10-06T05:27:40-07:00,2008-10-06T05:27:00-07:00
37,pending_approval,Tommy (Sales Lead) Kennedy,Tommy (Sales Lead) Kennedy,2008-10-06T05:30:47-07:00,2008-10-06T05:30:47-07:00,2008-10-06T05:30:47-07:00
